Time,Wind speed (m/s),Wind direction (deg),Gust (m/s)
06:00,7.7,150,0
07:00,7.2,150,0
08:00,8.7,160,0
09:00,9.8,170,15.9
10:00,9.8,170,14.9
11:00,9.3,170,13.4
12:00,8.2,180,0
13:00,9.8,170,14.4
14:00,8.7,190,13.4
15:00,9.3,200,14.4
16:00,8.2,210,0
17:00,7.7,210,0
18:00,6.2,200,0
