Time,Wind speed (m/s),Wind direction (deg),Gust (m/s)
06:00,7.2,150,0
07:00,7.7,160,0
08:00,7.7,160,0
08:20,8.75,160,13.9
08:50,9.26,160,0
09:00,9.8,160,14.4
10:00,9.26,170,14.4
10:50,7.2,170,0
11:00,7.7,170,0
11:50,7.2,160,0
12:00,6.7,170,0
13:00,6.69,160,0
13:50,6.69,170,0
14:00,6.2,170,0
15:00,7.2,190,0
15:50,5.66,220,0
16:00,6.2,220,0
16:50,3.09,210,0
17:00,3.6,210,0
17:50,4.12,210,0
18:00,3.6,210,0
19:00,3.6,210,0
