Time,Wind speed (m/s),Wind direction (deg),Gust (m/s)
06:00,7.72,150,0
07:00,6.69,150,0
08:00,7.72,160,0
09:00,7.72,170,0
10:00,7.2,170,0
11:00,6.17,180,0
12:00,5.66,180,11.3
13:00,6.17,190,0
14:00,6.17,200,0
15:00,5.14,200,0
16:00,5.66,200,0
17:00,4.12,190,0
18:00,5.14,190,0
19:00,5.66,190,0
