Time,Wind speed (m/s),Wind direction (deg),Gust (m/s)
06:00,5.1,160,0
07:00,6.2,170,0
08:00,7.2,170,0
09:00,7.7,190,0
10:00,8.7,190,14.9
11:00,8.7,200,0
12:00,7.7,190,0
13:00,8.7,200,0
14:00,6.7,210,0
15:00,6.7,210,0
16:00,5.7,220,0
17:00,4.6,210,0
18:00,5.1,210,0
