Time,Wind speed (m/s),Wind direction (deg),Gust (m/s)
06:00,3.6,180,0
08:20,3.6,180,0
08:50,5.66,200,11.3
09:20,4.63,190,10.8
09:50,5.14,190,11.3
10:20,4.63,190,14.4
10:50,5.66,200,11.3
11:20,2.57,190,10.28
11:50,3.6,190,9.26
12:20,3.6,180,9.77
12:50,8.23,210,14.4
13:20,9.26,220,14.4
13:50,6.69,230,0
14:20,7.2,230,0
14:50,6.17,230,0
15:20,7.2,230,12.3
15:50,7.72,230,0
16:20,6.17,220,0
16:50,6.17,220,0
17:20,5.14,220,0
17:50,4.63,210,0
18:20,6.17,220,0
