Time,Wind speed (m/s),Wind direction (deg),Gust (m/s)
06:00,3.6,140,0
07:00,7.2,120,0
08:00,6.17,130,0
09:00,9.26,160,0
10:00,9.26,170,14.4
11:00,10.3,170,14.9
12:00,8.75,190,0
13:00,8.75,190,14.9
14:00,6.69,190,0
15:00,5.66,190,0
16:00,4.12,190,0
17:00,4.63,190,0
18:00,3.6,200,0
19:00,3.6,200,0
