Time,Wind speed (m/s),Wind direction (deg),Gust (m/s)
06:00,5.7,150,0
07:00,4.12,160,0
08:00,5.66,160,0
09:00,6.17,170,0
10:00,6.69,180,12.9
11:00,7.2,190,0
12:00,7.72,200,0
13:00,6.17,200,0
14:00,7.72,200,0
15:00,7.72,210,12.9
16:00,7.72,230,0
17:00,4.63,220,0
18:00,4.63,220,0
19:00,3.6,220,0
